Date,Open,High,Low,Close,Adj Close,Volume
2010-01-29,0.809,0.868,0.809,0.868,0.868,0.0
2010-02-01,0.872,0.907,0.872,0.907,0.907,0.0
2010-02-02,0.925,0.936,0.925,0.936,0.936,0.0
2010-02-03,0.931,0.931,0.887,0.887,0.887,0.0
2010-02-04,0.931,0.931,0.907,0.907,0.907,0.0
2010-02-05,0.882,0.882,0.868,0.868,0.868,0.0
2010-02-08,0.871,0.871,0.839,0.839,0.839,0.0
2010-02-09,0.853,0.853,0.839,0.839,0.839,0.0
2010-02-10,0.843,0.843,0.829,0.829,0.829,0.0
2010-02-11,0.833,0.839,0.833,0.839,0.839,0.0
2010-02-12,0.827,0.827,0.79,0.79,0.79,0.0
2010-02-15,0.794,0.794,0.78,0.78,0.78,0.0
2010-02-16,0.793,0.819,0.793,0.819,0.819,0.0
2010-02-17,0.794,0.8,0.794,0.8,0.8,0.0
2010-02-18,0.804,0.804,0.8,0.8,0.8,0.0
2010-02-19,0.804,0.809,0.804,0.809,0.809,0.0
2010-02-22,0.819,0.819,0.809,0.809,0.809,0.0
2010-02-23,0.813,0.829,0.813,0.829,0.829,0.0
2010-02-24,0.843,0.843,0.79,0.79,0.79,0.0
2010-02-25,0.794,0.794,0.794,0.794,0.794,0.0
2010-02-26,0.794,0.794,0.79,0.79,0.79,0.0
2010-03-01,0.794,0.794,0.79,0.79,0.79,0.0
2010-03-02,0.794,0.819,0.794,0.819,0.819,0.0
2010-03-03,0.833,0.833,0.809,0.809,0.809,0.0
2010-03-04,0.794,0.8,0.794,0.8,0.8,0.0
2010-03-05,0.804,0.804,0.8,0.8,0.8,0.0
2010-03-08,0.804,0.804,0.804,0.804,0.804,0.0
2010-03-09,0.804,0.804,0.79,0.79,0.79,0.0
2010-03-10,0.794,0.794,0.79,0.79,0.79,0.0
2010-03-11,0.794,0.8,0.794,0.8,0.8,0.0
2010-03-12,0.804,0.804,0.79,0.79,0.79,0.0
2010-03-15,0.8,0.8,0.79,0.79,0.79,0.0
2010-03-16,0.786,0.786,0.78,0.78,0.78,0.0
2010-03-17,0.794,0.794,0.77,0.77,0.77,0.0
2010-03-18,0.774,0.78,0.774,0.78,0.78,0.0
2010-03-19,0.794,0.794,0.77,0.77,0.77,0.0
2010-03-22,0.794,0.794,0.78,0.78,0.78,0.0
2010-03-23,0.784,0.784,0.77,0.77,0.77,0.0
2010-03-24,0.773,0.773,0.77,0.77,0.77,0.0
2010-03-25,0.775,0.775,0.775,0.775,0.775,0.0
2010-03-26,0.792,0.792,0.79,0.79,0.79,0.0
2010-03-29,0.794,0.794,0.79,0.79,0.79,0.0
2010-03-30,0.794,0.8,0.794,0.8,0.8,0.0
2010-03-31,0.804,0.809,0.804,0.809,0.809,0.0
2010-04-01,0.794,0.858,0.794,0.858,0.858,0.0
2010-04-06,0.872,0.907,0.872,0.907,0.907,0.0
2010-04-07,0.892,0.892,0.892,0.892,0.892,0.0
2010-04-08,0.911,0.911,0.911,0.911,0.911,0.0
2010-04-09,0.892,0.892,0.892,0.892,0.892,0.0
2010-04-12,0.911,0.911,0.911,0.911,0.911,0.0
2010-04-13,0.931,0.931,0.931,0.931,0.931,0.0
2010-04-14,0.924,0.924,0.924,0.924,0.924,0.0
2010-04-15,0.956,0.956,0.956,0.956,0.956,0.0
2010-04-16,0.96,0.96,0.96,0.96,0.96,0.0
2010-04-19,0.99,0.99,0.99,0.99,0.99,0.0
2010-04-20,1.013,1.013,1.013,1.013,1.013,0.0
2010-04-21,1.078,1.187,1.078,1.187,1.187,0.0
2010-04-22,1.019,1.019,1.019,1.019,1.019,0.0
2010-04-23,0.979,0.979,0.979,0.979,0.979,0.0
2010-04-26,0.98,0.98,0.98,0.98,0.98,0.0
2010-04-27,0.97,0.97,0.97,0.97,0.97,0.0
2010-04-28,0.921,0.921,0.921,0.921,0.921,0.0
2010-04-29,0.899,0.899,0.899,0.899,0.899,0.0
2010-04-30,0.898,0.898,0.898,0.898,0.898,0.0
2010-05-03,0.911,0.911,0.911,0.911,0.911,0.0
2010-05-04,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-05,0.853,0.853,0.853,0.853,0.853,0.0
2010-05-06,0.862,0.862,0.862,0.862,0.862,0.0
2010-05-07,0.833,0.833,0.833,0.833,0.833,0.0
2010-05-10,0.823,0.823,0.823,0.823,0.823,0.0
2010-05-11,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-12,0.892,0.892,0.892,0.892,0.892,0.0
2010-05-13,0.921,0.921,0.921,0.921,0.921,0.0
2010-05-14,0.921,0.921,0.921,0.921,0.921,0.0
2010-05-17,0.901,0.901,0.901,0.901,0.901,0.0
2010-05-18,0.911,0.911,0.911,0.911,0.911,0.0
